Load,REHourlyCF
584.1521789,0.262779823
569.7812131,0.260001355
556.3980655,0.259171203
550.0721299,0.25075109
551.0765002,0.250847094
557.4914549,0.24837358
566.9286995,0.240919153
574.5332775,0.235328334
580.8492699,0.236367435
595.6719409,0.239191082
610.9243898,0.272233391
620.7018962,0.30385823
623.6543272,0.309189275
622.3791664,0.299758296
620.3583709,0.27928686
620.9748261,0.259272855
637.0908963,0.23604554
672.9888552,0.196926743
684.4538097,0.146050283
681.7186497,0.135845626
673.6574329,0.146005105
656.0983631,0.146310059
629.7290365,0.143695362
604.3767629,0.146541598
585.7279926,0.147484696
576.2452397,0.143305699
573.6984162,0.143418645
576.6618219,0.140702297
588.8076385,0.139753552
620.8131267,0.13395943
671.4599905,0.133976372
707.4677663,0.14027875
714.3387321,0.150551176
711.920253,0.167617294
710.1263551,0.202958052
704.9022898,0.24046737
697.8487614,0.272165624
692.7710987,0.278665658
686.9246351,0.270657797
687.476345,0.269341977
704.5812539,0.260865391
750.3779584,0.234340057
765.4380105,0.208678759
761.0956791,0.230228828
751.4693013,0.258629063
730.1908005,0.280484086
696.4946499,0.290090131
662.3777261,0.303225734
638.6215564,0.303248323
626.1713977,0.301492015
620.04193,0.29134383
619.854816,0.282805123
630.5497908,0.279416748
660.6993644,0.280715625
710.715213,0.280568795
742.6933055,0.275237751
741.62037,0.274836793
733.6310421,0.279552283
724.7319899,0.288921141
716.0865705,0.289604464
706.4933949,0.274503603
698.1083591,0.259939235
689.7879922,0.254082993
688.4930815,0.239947819
703.8388336,0.231595473
748.2429199,0.206442431
764.3548207,0.176811087
759.8755114,0.173394475
751.1515999,0.201292101
729.7674513,0.223576318
696.4522413,0.242319682
662.9911252,0.249576453
637.7960815,0.24822675
625.0848953,0.242150263
618.4939157,0.241178929
619.6992287,0.238072918
630.3133156,0.238541643
657.0965666,0.244527773
706.3649467,0.255997425
736.5912334,0.2700253
734.3327402,0.28881949
725.6189628,0.312363053
717.2705946,0.337239377
709.2666031,0.359489711
697.2442849,0.360653053
685.7783699,0.349669069
675.5746656,0.335844496
672.5922195,0.321901331
685.7123258,0.298261763
725.3921471,0.26007477
738.449309,0.210711785
731.822988,0.191804649
720.4687455,0.195226908
704.8131559,0.200315119
678.4287509,0.201563171
648.5494166,0.203234769
623.8675708,0.206532788
610.349661,0.203647022
601.9681124,0.200557953
600.7039861,0.199829452
603.5129178,0.202263435
615.6918057,0.205843818
634.037167,0.212987644
652.2700592,0.223169712
664.6255503,0.25006212
664.8025575,0.282116154
658.7398325,0.325165466
647.5047171,0.360528812
634.2576469,0.382575843
622.2442678,0.38287515
615.1618103,0.385021121
616.8040937,0.391272674
632.3170299,0.378526734
672.4930605,0.346190336
686.9818329,0.315214936
681.999258,0.32403036
674.727116,0.332461768
659.4704651,0.332230229
634.5178395,0.332975671
606.7306768,0.33729585
582.8266745,0.326808828
567.9831458,0.321031647
558.8532448,0.316129797
554.6100942,0.310516388
556.743419,0.303180555
564.201076,0.301243534
579.294303,0.305863019
596.973908,0.314943866
610.7040954,0.33335404
616.8800865,0.356897603
615.3513091,0.3995629
611.7919349,0.423620366
609.1159427,0.42079672
606.1203882,0.413839255
604.0988123,0.401850053
607.1557613,0.380531523
624.5297964,0.362556191
662.140154,0.350612167
677.6166682,0.310234024
673.2536809,0.286046669
666.5491352,0.290903341
646.7706191,0.280930222
621.1319414,0.270945809
595.6167623,0.250643791
576.222532,0.251468296
566.4513287,0.243550792
563.5540163,0.242647225
565.7254112,0.240953037
579.1334494,0.233159773
612.5448715,0.221763537
666.7693259,0.208029321
700.8569604,0.198513633
699.9015257,0.189246425
691.8109325,0.190206465
686.1192158,0.200196526
677.2870206,0.213862974
668.7017462,0.220577605
660.984988,0.210683548
652.8633428,0.204262577
649.545983,0.194617001
661.9971076,0.18162258
706.5543309,0.158745397
728.0103793,0.118401138
727.6311086,0.108365899
721.7690262,0.118288193
701.548246,0.123551469
672.2547026,0.126855136
641.6353655,0.131548036
619.4426161,0.134693578
610.1266816,0.129577131
607.837775,0.123816892
610.1459294,0.118186541
622.3074086,0.118130068
653.4064467,0.116328582
705.2786735,0.119236938
734.9087515,0.12659536
726.3048894,0.131847342
708.0401595,0.142187535
691.9263432,0.162195893
677.7654829,0.18222684
663.8137623,0.186914093
654.2053717,0.177968782
645.5907152,0.172705505
642.3071031,0.172592559
653.6688549,0.170124692
693.872303,0.154668052
712.9960919,0.107411507
710.4957263,0.088244596
702.1917476,0.089063453
682.6402274,0.090119497
649.8332491,0.089673361
618.0009643,0.084076894
596.3160646,0.079677653
585.9538207,0.076289277
580.9681188,0.076582936
581.8301138,0.075956087
592.6951541,0.072234521
622.0283556,0.071246245
674.3437034,0.072612889
704.9170627,0.073764937
697.9054571,0.080959588
685.615819,0.087075606
677.8449793,0.115216065
667.7338197,0.146846552
661.103362,0.169339719
655.4397885,0.173953557
649.0691961,0.168684633
645.4328194,0.158400913
653.0536494,0.148004247
686.440459,0.141317852
701.0662693,0.115142651
693.3310874,0.096478348
684.3509998,0.101560912
662.5478025,0.101402788
629.9775178,0.106344169
595.8448005,0.120863358
572.542186,0.11946283
561.2099473,0.109868079
557.183904,0.112991032
559.2357134,0.124240439
570.0847474,0.121580564
601.1752012,0.120507579
655.2799446,0.11414308
688.4206141,0.117384626
684.5894452,0.132993743
674.8183946,0.152488197
667.6525661,0.187309404
660.1556548,0.221949897
652.5683491,0.228483815
646.9393966,0.229167137
640.1407945,0.227100228
638.7837853,0.216319546
651.6998326,0.196915449
689.0179034,0.169576905
701.4441591,0.139561544
695.3061509,0.125087533
685.0115991,0.13007974
662.9384078,0.141125844
630.8863363,0.145756624
596.7599495,0.158321851
573.0572013,0.154792293
561.0457594,0.163172875
554.6900544,0.167120333
555.9205909,0.167927895
564.0473879,0.167566469
590.7589083,0.172937044
638.8033878,0.182136484
670.8281129,0.190511419
671.4046972,0.208695701
668.1872439,0.226123247
667.4584122,0.260989632
664.1036425,0.294613612
658.8827369,0.300870813
654.6629272,0.301429895
648.1876203,0.29257494
644.9483978,0.282500169
651.8324447,0.267822856
671.8963988,0.2480178
673.2008872,0.213292598
661.3161089,0.202737807
648.1504561,0.218826944
628.3538054,0.232899998
601.8580825,0.242698051
571.4644044,0.20946938
546.3013623,0.239140256
529.1518017,0.237327475
520.603222,0.227523775
515.5571788,0.216263073
517.7542721,0.213467664
526.4196106,0.211248278
543.2039038,0.21232691
563.4574496,0.212462446
580.2024613,0.211988073
593.8060178,0.214320405
599.4057465,0.237383948
596.831118,0.243573381
589.3428566,0.243093361
579.0384053,0.242116379
570.4783161,0.239202376
568.6302819,0.225722289
578.2418977,0.205849466
608.1275078,0.20122998
619.2504486,0.191324629
611.6213346,0.206284307
602.2231041,0.246041248
590.5500633,0.278428471
570.3157817,0.308590662
544.7215974,0.322754072
523.1702212,0.333754998
508.7668718,0.339182046
500.3046646,0.3355226
495.9815865,0.327175902
495.9209014,0.312103278
502.6023302,0.298950733
514.1892059,0.306783528
531.8074546,0.31443561
549.5585555,0.32444826
563.6206225,0.336443109
571.3774589,0.357948
576.5457781,0.351205132
578.4280677,0.339210283
578.4995746,0.332089047
576.5626411,0.328757144
577.5367943,0.322240168
590.7978787,0.317400438
622.0449185,0.311544196
632.9583431,0.279083557
627.6189488,0.295381644
617.6817839,0.31898168
599.4064396,0.34249136
573.4575806,0.347229438
547.5783459,0.355626962
527.9656985,0.347364973
518.258269,0.338001762
513.498346,0.338103413
514.8852884,0.335375771
526.2349742,0.332676365
556.0886482,0.334686801
607.389164,0.347009194
646.601656,0.363250808
652.2515808,0.3960164
654.2803004,0.422547381
656.8130987,0.447107457
657.6123239,0.473920802
655.5488525,0.486085071
652.961383,0.497509544
649.8152618,0.494386591
650.2680912,0.476061126
661.2609686,0.451986718
691.30848,0.422643385
701.9268453,0.360997538
695.2369197,0.330005196
684.9917509,0.335115995
662.7422457,0.338831914
632.0395814,0.344727688
600.3174192,0.351120423
578.1259958,0.3426156
566.597464,0.344857575
561.6449587,0.341994398
563.5273301,0.343468341
573.7912556,0.341576498
603.7640022,0.344851928
656.1115643,0.352938851
691.7082645,0.351600443
692.7417166,0.367181323
692.7925076,0.386720956
693.3999965,0.41992139
690.8363809,0.471419052
688.0964239,0.486282726
684.7248841,0.480674964
681.3145648,0.464071924
681.0152598,0.459695272
692.6276866,0.44123992
720.0431371,0.41487271
728.7598013,0.349765073
721.1399156,0.316321805
709.7803468,0.302632768
687.7552725,0.297657503
653.1810661,0.295116221
621.2675824,0.317191488
597.9865241,0.290643565
586.8294753,0.278518828
580.7542968,0.264632135
580.9243677,0.256900992
590.0130061,0.245510402
617.968308,0.238287515
667.4612663,0.228207098
700.8251717,0.225270505
703.0584905,0.223994217
701.1257483,0.246357496
702.9665351,0.284708261
701.9661214,0.310132373
697.6312557,0.32156814
695.1090718,0.335387065
691.1238817,0.344524385
689.4750113,0.3481443
699.4610135,0.338498724
724.2942226,0.302395582
729.3080241,0.259425331
720.5067719,0.232284443
706.6655832,0.236039892
682.321036,0.240382661
647.9292886,0.24013418
612.9762155,0.218883417
587.6845068,0.237321828
571.9031595,0.243155481
565.6159707,0.242669814
564.0360476,0.242359213
573.2945769,0.245798414
602.570204,0.245182859
653.9355744,0.25096004
687.8362477,0.260086065
689.7210804,0.291129233
688.3362499,0.320195848
687.6305134,0.352091757
686.0802179,0.375008471
682.4993365,0.380407283
681.9623557,0.370343807
680.8049632,0.358597438
682.6342734,0.338521313
693.186502,0.306224446
718.1162014,0.254574307
728.8582891,0.180566536
722.2587578,0.142035058
712.0701157,0.15214936
692.0736736,0.175811516
661.8201222,0.191014028
631.1584912,0.213721792
609.1097106,0.234424767
598.680342,0.254099934
594.7368183,0.263632565
596.9197498,0.265134744
607.9059037,0.265230748
638.2585049,0.264106937
688.1819287,0.259871468
722.3208563,0.264315887
724.2884925,0.293777813
715.2897083,0.325459125
707.9917588,0.354006189
697.8907497,0.39854074
687.3395744,0.414387043
677.0243232,0.411964354
668.5702091,0.399879148
664.8063285,0.389149292
674.0007728,0.355299419
707.8388892,0.311685378
728.3094059,0.263310669
722.4056789,0.255359281
713.9587412,0.26798098
698.2083693,0.27519822
673.2692888,0.282274278
644.6935643,0.279337686
621.4197807,0.281065757
607.033851,0.278247758
599.3532419,0.28377081
596.2092874,0.297860806
598.6230295,0.304626262
610.0861885,0.313368271
626.7972232,0.326532111
645.2269268,0.340915765
654.6204367,0.369643543
653.3630176,0.388279609
645.68899,0.408705866
631.7530355,0.447299465
615.6510398,0.474304818
599.3358878,0.48923626
588.6295236,0.483346134
582.9335009,0.455572748
590.3061552,0.416199824
621.4501287,0.3657695
644.1997724,0.314701032
641.5429955,0.277965393
636.0546937,0.259583456
624.1041606,0.245589464
604.874473,0.22759719
582.7265825,0.192939755
563.5660168,0.218617995
551.764304,0.22050419
545.9701485,0.232047257
543.9622158,0.239354853
546.6253942,0.248040389
555.8770582,0.252241975
570.4748398,0.259075199
587.0142645,0.270217308
599.3661757,0.301537193
604.7927337,0.340328447
603.840688,0.357575278
599.5223087,0.389200117
595.5221547,0.414082089
592.0455785,0.433345004
587.3733105,0.447711717
587.5797978,0.437936253
600.4967948,0.407734532
637.5457449,0.384100612
663.7517239,0.351182543
662.9870487,0.334619034
659.2453846,0.349669069
647.8105762,0.353571348
632.6608335,0.350888884
611.9133486,0.340740699
597.2018644,0.333190269
589.7432742,0.327559918
588.9726887,0.3230082
592.7418793,0.314898688
605.1142499,0.304846507
631.0935822,0.30168967
668.6133871,0.290575798
700.1407732,0.285402878
711.8265788,0.28064221
718.5149546,0.274605254
720.5688158,0.295844722
716.2030563,0.323200208
712.5152667,0.337967878
709.450039,0.335324945
700.6714072,0.330101199
694.9757776,0.318704963
703.5453352,0.325103345
736.995804,0.322104633
758.483832,0.282901127
756.5830313,0.255850595
750.3446798,0.264886264
731.7735942,0.272498814
703.1189463,0.272769884
675.4335456,0.279156972
658.7858592,0.290412026
652.5785869,0.290016716
653.078611,0.282229099
658.3663029,0.269737288
674.3891025,0.257296302
708.4279598,0.251468296
761.9287178,0.237011227
795.9954783,0.229895638
794.8031209,0.233995573
787.4436896,0.228822652
782.2469052,0.224773544
774.9685529,0.231578531
768.7327663,0.235678466
761.2988812,0.23099686
754.3511588,0.22603289
752.8026042,0.220893853
767.8647574,0.208119677
735.7660098,0.180159931
744.0014431,0.156079875
743.1331431,0.157791005
740.1375158,0.184062211
799.6774396,0.197118751
765.8975633,0.193645666
735.4658097,0.218567169
715.6056197,0.185101312
705.3692863,0.181735526
701.5824414,0.176444013
703.3847599,0.170632949
715.3490071,0.177392758
